Cereal,Calories,Sugar,Fiber
Common Sense Oat Bran,100.0,6.0,3.0
Product 19,100.0,3.0,1.0
All Bran Xtra Fiber,50.0,0.0,14.0
Just Right,140.0,9.0,2.0
Original Oat Bran,70.0,5.0,10.0
Heartwise,90.0,5.0,6.0
Special K,110.0,3.0,0.0
Oatbake Raisin Nut,110.0,8.0,2.0
Kenmei Rice Bran,150.0,9.0,2.0
Nutri Grain,100.0,2.0,3.0
Shredded Wheat Squares,90.0,5.0,3.0
Oatmeal raisin Crisp,110.0,6.0,1.0
hole Wheat Total,100.0,3.0,3.0
Cheerios,110.0,1.0,2.0
Total Raisin Bran,86.7,9.3,3.3
Wheaties,100.0,3.0,3.0
Raisin Nut Bran,110.0,8.0,3.0
Wheat Chex,100.0,3.0,2.0
Batman,110.0,10.0,0.0
Ninja Turtles,110.0,13.0,0.0
Capt. Crunch,120.0,12.0,0.0
Trix,110.0,12.0,0.0
Frosted Flakes,110.0,11.0,0.0
Honey Smacks,110.0,15.0,1.0
Froot Loops,110.0,13.0,1.0
Puffed Rice,100.0,0.0,0.0
Mueslix Crispy Blend,160.0,13.0,3.0
Uncle Sam,110.0,0.0,7.0
100% Bran,70.0,6.0,10.0
Fruit & Fiber,96.0,6.4,4.0
Bran Flakes,90.0,5.0,5.0
Bran Buds,70.0,1.0,8.0
Fruit'n Oat Bran,110.0,0.0,4.0
Fruit'n Oat Bran Crunch,60.0,0.0,13.0
Hodgson's Mill Wheat,108.0,0.0,4.0
Hodgson's Mill Oat Bran,77.0,0.0,6.0
