Section,Class,Sex,Distance,Height,Handedness,Coins,WhiteString,BlackString,Reading,TV,Pulse,Texting
1,Senior,F,400,62,Right,1.12,42,6,80.0,3.0,71,3
1,*,F,450,61,Left,29.0,45,5,100.0,10.0,78,100
1,Freshman,F,3000,61,Right,1.5,22,4,100.0,4.0,80,2
1,Freshman,M,100,72,Right,0.07,40,4,50.0,25.0,63,200
1,N/A,F,2000,69,Right,0.12,48,7,200.0,5.0,63,100
1,Senior,M,500,73,Right,8.0,30,8,100.0,0.0,56,1
1,Sophomore,F,1100,60,Right,0.77,50,0,200.0,2.0,72,50
1,Sophomore,M,1000,71,Right,0.0,45,6,100.0,2.0,66,30
1,Sophomore,M,400,70,Right,0.0,38,0,100.0,20.0,54,40
1,Sophomore,M,450,75,Left,0.0,36,12,100.0,20.0,48,25
1,Sophomore,M,400,71,Right,25.0,48,12,250.0,8.0,81,25
1,Senior,M,762,69,Ambidextrous,4.0,48,6,2000.0,2.0,66,40
1,Senior,M,300,68,Right,3.0,40,11,175.0,1.0,69,5
1,Sophomore,F,2300,62,Right,500.0,32,3,200.0,3.0,51,5
1,Junior,M,50,77,Right,0.0,36,2,50.0,4.0,66,5
1,Senior,F,150,62,Right,1.0,30,0,200.0,0.0,57,10
1,Junior,M,250,70,Right,0.25,35,2,200.0,6.0,57,25
1,Senior,M,600,73,Right,4.0,48,20,450.0,1.5,75,2
1,Senior,M,800,71,Left,0.0,40,15,100.0,0.0,72,2
1,Junior,M,195,70,Right,0.75,30,3,75.0,1.5,96,3
1,Junior,F,5000,66,Right,4.0,24,0,100.0,4.0,60,1
1,Freshman,M,600,66,Left,0.0,38,2,40.0,2.0,78,10
1,Junior,M,380,74,Right,0.0,43,6,300.0,4.0,63,4
1,Freshman,F,4500,70,Right,2.34,40,4,50.0,2.0,60,12
2,Freshman,M,1250,74,Right,120.0,40,2,50.0,4.5,81,40
2,Freshman,M,750,73,Right,2.75,36,3,12.5,6.0,57,45
2,Freshman,F,100,66,Right,3.0,36,42,2.0,3.0,75,10
2,Junior,M,426,70,Right,0.0,33,4,300.0,2.0,81,4
2,Sophomore,F,700,67,Right,2.5,43,3,200.0,2.0,72,18
2,Freshman,M,150,70,Right,20.0,70,1,80.0,10.0,60,100
2,Freshman,F,700,62,Right,1.0,38,2,20.0,8.0,75,70
2,Freshman,F,180,70,Right,0.0,29,4,200.0,7.0,51,250
2,Freshman,M,780,74,Right,35.0,43,3,250.0,7.0,72,4
2,Senior,M,800,73,Right,0.14,40,2,23.0,4.0,72,6
2,Junior,F,2000,66,Right,0.0,30,3,50.0,1.0,90,3
2,Junior,M,300,69,Right,10.0,30,2,45.0,0.0,66,1
2,Freshman,M,20000,71,Right,25.0,30,5,75.0,5.0,57,0
2,Junior,M,10000,73,Right,0.0,26,0,10.0,5.0,51,0
2,Junior,M,300,71,Right,0.62,38,2,200.0,2.0,72,5
2,Junior,F,1000,68,Right,1.28,42,4,160.0,2.0,75,28
2,Senior,F,280,65,Right,0.0,50,7,200.0,4.0,51,13
2,Senior,M,,73,Right,0.0,32,0,150.0,2.0,54,10
2,Sophomore,F,900,62,Right,0.35,34,5,65.0,2.5,72,13
