BPchange,Dose,Run,Treatment,Animal
0.5,6.25,C1,Control,R1
4.5,12.5,C1,Control,R1
10.0,25.0,C1,Control,R1
26.0,50.0,C1,Control,R1
37.0,100.0,C1,Control,R1
32.0,200.0,C1,Control,R1
1.0,6.25,C2,Control,R2
1.25,12.5,C2,Control,R2
4.0,25.0,C2,Control,R2
12.0,50.0,C2,Control,R2
27.0,100.0,C2,Control,R2
29.0,200.0,C2,Control,R2
0.75,6.25,C3,Control,R3
3.0,12.5,C3,Control,R3
3.0,25.0,C3,Control,R3
14.0,50.0,C3,Control,R3
22.0,100.0,C3,Control,R3
24.0,200.0,C3,Control,R3
1.25,6.25,C4,Control,R4
1.5,12.5,C4,Control,R4
6.0,25.0,C4,Control,R4
19.0,50.0,C4,Control,R4
33.0,100.0,C4,Control,R4
33.0,200.0,C4,Control,R4
1.5,6.25,C5,Control,R5
1.5,12.5,C5,Control,R5
5.0,25.0,C5,Control,R5
16.0,50.0,C5,Control,R5
20.0,100.0,C5,Control,R5
18.0,200.0,C5,Control,R5
1.25,6.25,M1,MDL,R1
0.75,12.5,M1,MDL,R1
4.0,25.0,M1,MDL,R1
9.0,50.0,M1,MDL,R1
25.0,100.0,M1,MDL,R1
37.0,200.0,M1,MDL,R1
1.4,6.25,M2,MDL,R2
1.7,12.5,M2,MDL,R2
1.0,25.0,M2,MDL,R2
2.0,50.0,M2,MDL,R2
15.0,100.0,M2,MDL,R2
28.0,200.0,M2,MDL,R2
0.75,6.25,M3,MDL,R3
2.3,12.5,M3,MDL,R3
3.0,25.0,M3,MDL,R3
5.0,50.0,M3,MDL,R3
26.0,100.0,M3,MDL,R3
25.0,200.0,M3,MDL,R3
2.6,6.25,M4,MDL,R4
1.2,12.5,M4,MDL,R4
2.0,25.0,M4,MDL,R4
3.0,50.0,M4,MDL,R4
11.0,100.0,M4,MDL,R4
22.0,200.0,M4,MDL,R4
2.4,6.25,M5,MDL,R5
2.5,12.5,M5,MDL,R5
1.5,25.0,M5,MDL,R5
2.0,50.0,M5,MDL,R5
9.0,100.0,M5,MDL,R5
19.0,200.0,M5,MDL,R5
